budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
63000000,329,en,Jurassic Park,40.413191,6/11/1993,920100000,127,Released,An adventure 65 million years in the making.,Jurassic Park,7.6,4856
44000000,273248,en,The Hateful Eight,68.717016,12/25/2015,155760117,167,Released,No one comes up here without a damn good reason.,The Hateful Eight,7.6,4274
55000000,109424,en,Captain Phillips,52.786917,10/10/2013,95000000,134,Released,Out here survival is everything.,Captain Phillips,7.6,2454
30000000,393,en,Kill Bill: Vol. 2,50.622607,4/16/2004,152159461,136,Released,The bride is back for the final cut.,Kill Bill: Vol. 2,7.6,3948
70000000,10386,en,The Iron Giant,61.245957,8/6/1999,23159305,86,Released,It came from outer space!,The Iron Giant,7.6,1436
48000000,89,en,Indiana Jones and the Last Crusade,80.972475,5/24/1989,474171806,127,Released,The man with the hat is back. And this time; he's bringing his Dad.,Indiana Jones and the Last Crusade,7.6,3152
25000000,322,en,Mystic River,31.242999,10/7/2003,156822020,138,Released,We bury our sins; we wash them clean.,Mystic River,7.6,1422
25000000,380,en,Rain Man,49.510658,12/11/1988,412800000,133,Released,A journey through understanding and fellowship.,Rain Man,7.6,1709
25000000,117,en,The Untouchables,38.272889,6/2/1987,76270454,119,Released,What are you prepared to do?,The Untouchables,7.6,1384
40000000,3558,en,Girl; Interrupted,10.713521,12/21/1999,0,127,Released,The crazy thing is; you're not crazy.,Girl; Interrupted,7.6,721
20000000,296096,en,Me Before You,53.161905,6/2/2016,207945075,110,Released,#LiveBoldly,Me Before You,7.6,2562
22000000,581,en,Dances with Wolves,45.707835,11/9/1990,424208848,181,Released,Inside everyone is a frontier waiting to be discovered.,Dances with Wolves,7.6,1046
16000000,83666,en,Moonrise Kingdom,41.083914,5/16/2012,68263166,94,Released,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.,Moonrise Kingdom,7.6,1662
19000000,1417,es,El laberinto del fauno,90.809408,5/27/2006,83258226,118,Released,What happens when make-believe believes it's real?,Pan's Labyrinth,7.6,3041
26000000,9800,en,Philadelphia,44.301745,12/22/1993,206678440,125,Released,No one would take on his case... until one man was willing to take on the system.,Philadelphia,7.6,988
15000000,45269,en,The King's Speech,54.053576,9/6/2010,414211549,118,Released,Find your voice.,The King's Speech,7.6,2752
16000000,2493,en,The Princess Bride,44.533612,9/18/1987,30857814,98,Released,It's as real as the feelings you feel.,The Princess Bride,7.6,1486
15000000,1018,en,Mulholland Drive,31.60985,5/16/2001,20117339,147,Released,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,Mulholland Drive,7.6,1477
15000000,12405,en,Slumdog Millionaire,59.258969,5/12/2008,377910544,120,Released,What does it take to find a lost love? A. Money; B. Luck; C. Smarts; D. Destiny,Slumdog Millionaire,7.6,2827
15000000,264660,en,Ex Machina,95.130041,1/21/2015,36869414,108,Released,There is nothing more human than the will to survive,Ex Machina,7.6,4737
12800000,16,en,Dancer in the Dark,22.022228,5/17/2000,40031879,140,Released,You don't need eyes to see.,Dancer in the Dark,7.6,377
12000000,222935,en,The Fault in Our Stars,74.358971,5/16/2014,307166834,125,Released,One Sick Love Story,The Fault in Our Stars,7.6,3759
8500000,242582,en,Nightcrawler,89.095538,10/23/2014,38697217,117,Released,The city shines brightest at night,Nightcrawler,7.6,3395
6244087,576,en,The Wild Bunch,14.970654,6/17/1969,638641,145,Released,If you only want to spend two hours in a movie theatre and go home and forget it; stay away from THE WILD BUNCH.,The Wild Bunch,7.6,259
0,183894,en,Emma,2.135689,10/11/2009,0,240,Released,,Emma,7.6,38
6500000,925,en,Do the Right Thing,15.580335,6/30/1989,37295445,120,Released,It's the hottest day of the summer. You can do nothing; you can do something; or you can...,Do the Right Thing,7.6,292
5000000,17431,en,Moon,46.114184,6/12/2009,9760104,97,Released,The last place you'd ever expect to find yourself.,Moon,7.6,1794
3600000,765,en,Evil Dead II,35.674774,3/13/1987,5923044,84,Released,The Sequel To The Ultimate Experience In Grueling Terror,Evil Dead II,7.6,742
3000000,261,en,Cat on a Hot Tin Roof,16.553594,2/17/1958,17570324,108,Released,Just one pillow on her bed ... and just one desire in her heart!,Cat on a Hot Tin Roof,7.6,165
3000000,821,en,Judgment at Nuremberg,13.338539,12/1/1961,10000000,186,Released,The event the world will never forget,Judgment at Nuremberg,7.6,155
0,16642,en,Days of Heaven,13.857194,9/13/1978,0,94,Released,Your eyes... Your ears... Your senses... will be overwhelmed.,Days of Heaven,7.6,234
2900000,666,pt,Central do Brasil,5.928937,1/16/1998,5596708,113,Released,He was looking for the father he never knew. She was looking for a second chance.,Central Station,7.6,126
0,21461,en,Lage Raho Munna Bhai,2.436019,1/1/2006,0,144,Released,They're back... and they're not alone!,Lage Raho Munna Bhai,7.6,44
2600000,291,en,Riding Giants,0.895946,7/9/2004,3166000,105,Released,,Riding Giants,7.6,23
2100000,887,en,The Best Years of Our Lives,8.38717,12/25/1946,23650000,172,Released,Three wonderful loves in the best picture of the year!,The Best Years of Our Lives,7.6,143
2000000,990,en,The Hustler,17.639478,9/25/1961,7600000,134,Released,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,The Hustler,7.6,240
2700000,80,en,Before Sunset,14.799323,2/10/2004,15992615,80,Released,What if you had a second chance with the one that got away?,Before Sunset,7.6,718
2000000,55,es,Amores perros,23.281616,6/16/2000,20908467,154,Released,Love. Betrayal. Death.,Amores perros,7.6,521
0,11194,en,Touching the Void,14.045887,9/5/2003,13885802,106,Released,,Touching the Void,7.6,138
2000000,14284,en,In the Shadow of the Moon,3.43159,1/19/2007,0,109,Released,,In the Shadow of the Moon,7.6,31
1800000,702,en,A Streetcar Named Desire,14.884756,9/18/1951,8000000,125,Released,...Blanche; who wanted so much to stay a lady...,A Streetcar Named Desire,7.6,281
0,15976,he,Ha-Buah,1.49436,6/6/2006,0,114,Released,,The Bubble,7.6,20
0,258755,es,A escondidas,1.233688,10/3/2014,0,96,Released,,Hidden Away,7.6,26
750000,8416,it,Il conformista,8.429295,10/21/1970,0,107,Released,Bertolucci's Masterpiece about Sex and Politics,The Conformist,7.6,127
730000,288,en,High Noon,18.644023,3/27/1952,8000000,85,Released,The story of a man who was too proud to run.,High Noon,7.6,334
0,52032,en,My Dog Tulip,1.170257,1/1/2009,246574,83,Released,Sometimes; love really is a bitch.,My Dog Tulip,7.6,9
300000,2786,fr,Pierrot le fou,7.791898,8/29/1965,0,110,Released,,Pierrot le Fou,7.6,127
200000,391,it,Per un pugno di dollari,38.771062,9/12/1964,14500000,99,Released,In his own way he is perhaps; the most dangerous man who ever lived!,A Fistful of Dollars,7.6,883
200000000,597,en,Titanic,100.025899,11/18/1997,1845034188,194,Released,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000,127585,en,X-Men: Days of Future Past,118.078691,5/15/2014,747862775,131,Released,To save the future; they must alter the past,X-Men: Days of Future Past,7.5,6032
165000000,10191,en,How to Train Your Dragon,67.263269,3/5/2010,494878759,98,Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
150000000,674,en,Harry Potter and the Goblet of Fire,101.250416,11/5/2005,895921036,157,Released,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608
150000000,2062,en,Ratatouille,65.677399,6/22/2007,623722818,111,Released,He's dying to become a chef.,Ratatouille,7.5,4369
150000000,272,en,Batman Begins,115.040024,6/10/2005,374218673,140,Released,Evil fears the knight.,Batman Begins,7.5,7359
125000000,671,en,Harry Potter and the Philosopher's Stone,109.984351,11/16/2001,976475550,152,Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
140000000,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,7/9/2003,655011224,143,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
115000000,585,en,Monsters; Inc.,106.815545,11/1/2001,562816256,92,Released,We Scare Because We Care.,Monsters; Inc.,7.5,5996
90000000,8358,en,Cast Away,57.739713,12/22/2000,429632142,143,Released,At the edge of the world; his journey begins.,Cast Away,7.5,3218
60000000,137106,en,The Lego Movie,59.547928,2/6/2014,469160692,100,Released,The story of a nobody who saved everybody.,The Lego Movie,7.5,3070
55000000,11321,en,Seven Pounds,41.472404,12/18/2008,168167691,123,Released,Seven names. Seven strangers. One secret.,Seven Pounds,7.5,2039
50000000,2649,en,The Game,62.925175,9/12/1997,109423648,129,Released,What do you get for the man who has everything?,The Game,7.5,1506
40000000,820,en,JFK,26.82041,12/20/1991,205405498,189,Released,The story that wonâ€™t go away.,JFK,7.5,502
40000000,10315,en,Fantastic Mr. Fox,41.258956,10/23/2009,46471023,87,Released,Dig the life fantastic!,Fantastic Mr. Fox,7.5,1176
40000000,256040,te,Baahubali: The Beginning,16.254032,7/10/2015,100000000,159,Released,,Baahubali: The Beginning,7.5,135
37000000,334,en,Magnolia,30.993736,12/8/1999,48451803,188,Released,Things fall down. People look up. And when it rains; it pours.,Magnolia,7.5,825
36000000,782,en,Gattaca,70.398356,9/7/1997,12532777,106,Released,There is no gene for the human spirit.,Gattaca,7.5,1808
28000000,562,en,Die Hard,66.169628,7/15/1988,140767956,131,Released,40 Stories. Twelve Terrorists. One Cop.,Die Hard,7.5,3948
27000000,525,en,The Blues Brothers,44.714264,6/17/1980,115229890,133,Released,They'll never get caught. They're on a mission from God.,The Blues Brothers,7.5,1065
21000000,1646,en,Freedom Writers,17.746981,1/5/2007,41170784,123,Released,Their story. Their world. Their future.,Freedom Writers,7.5,356
20000000,162,en,Edward Scissorhands,47.51363,12/5/1990,53000000,105,Released,His scars run deep.,Edward Scissorhands,7.5,3601
17500000,205,en,Hotel Rwanda,28.60542,9/11/2004,38000000,121,Released,When the world closed its eyes; he opened his arms.,Hotel Rwanda,7.5,793
11500000,1245,en,The Remains of the Day,15.355589,11/5/1993,23237911,134,Released,Diamond in the Rough,The Remains of the Day,7.5,202
15000000,4995,en,Boogie Nights,19.85579,9/11/1997,43101594,155,Released,The life of a dreamer; the days of a business; and the nights in between.,Boogie Nights,7.5,796
15000000,68,en,Brazil,41.089863,2/20/1985,0,132,Released,It's only a state of mind.,Brazil,7.5,861
14000000,142,en,Brokeback Mountain,44.135568,9/2/2005,178043761,134,Released,Love is a force of nature.,Brokeback Mountain,7.5,1480
12500000,319,en,True Romance,35.268557,9/9/1993,12281551,120,Released,Stealing; Cheating; Killing. Who said romance was dead?,True Romance,7.5,749
12500000,9504,en,Glengarry Glen Ross,13.939054,9/15/1992,10725228,100,Released,Lie. Cheat. Steal. All in a dayâ€™s work.,Glengarry Glen Ross,7.5,323
8000000,9552,en,The Exorcist,47.584643,12/26/1973,441306145,122,Released,Something almost beyond comprehension is happening to a girl on this street; in this house... and a man has been sent for as a last resort. This man is The Exorcist.,The Exorcist,7.5,2005
7000000,578,en,Jaws,50.152327,6/18/1975,470654000,124,Released,Don't go in the water.,Jaws,7.5,2542
11000000,10229,en,A Walk to Remember,33.283554,1/25/2002,41227069,101,Released,She didn't belong. She was misunderstood. And she would change him forever.,A Walk to Remember,7.5,1018
11000000,1587,en,What's Eating Gilbert Grape,33.282794,12/17/1993,30000000,118,Released,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape,7.5,919
9000000,11545,en,Rushmore,18.289303,9/17/1998,17096053,93,Released,Love. Expulsion. Revolution.,Rushmore,7.5,676
8900000,86837,fr,Amour,17.151293,7/1/2012,19839492,127,Released,,Amour,7.5,400
8000000,773,en,Little Miss Sunshine,14.793177,7/26/2006,100523181,102,Released,A family on the verge of a breakdown,Little Miss Sunshine,7.5,1686
0,385736,en,Kicks,3.467923,9/9/2016,0,80,Released,They aren't just shoes,Kicks,7.5,18
7500000,7735,de,Die Welle,25.281197,3/11/2008,19000000,107,Released,Evil is something that you learn,The Wave,7.5,841
0,24977,en,Michael Jordan to the Max,1.830306,5/5/2000,21268532,46,Released,Up close some heroes get even bigger.,Michael Jordan to the Max,7.5,10
0,5708,en,Control,11.357474,9/26/2007,8159508,121,Released,,Control,7.5,200
6000000,792,en,Platoon,49.802914,12/18/1986,138530565,120,Released,The first casualty of war is innocence.,Platoon,7.5,1205
0,5528,fr,Les Choristes,20.982455,3/17/2004,0,96,Released,,The Chorus,7.5,526
5500000,211954,es,No se Aceptan Devoluciones,9.59729,7/20/2013,99067206,115,Released,Life doesn't care if you're ready.,Instructions Not Included,7.5,205
5000000,284293,en,Still Alice,35.307577,12/5/2014,43884652,99,Released,,Still Alice,7.5,1104
4000000,747,en,Shaun of the Dead,49.12486,4/9/2004,30039392,99,Released,A romantic comedy. With zombies.,Shaun of the Dead,7.5,2420
114000,10331,en,Night of the Living Dead,25.666029,10/1/1968,30000000,96,Released,If it doesn't scare you; you're already dead!,Night of the Living Dead,7.5,580
4000000,85350,en,Boyhood,43.40352,6/5/2014,44349000,164,Released,12 years in the making.,Boyhood,7.5,1971
3900000,874,en,A Man for All Seasons,9.541688,12/12/1966,28350000,120,Released,...a motion picture for all times!,A Man for All Seasons,7.5,89
3200000,805,en,Rosemary's Baby,26.180367,6/12/1968,33395426,136,Released,Pray for Rosemary's Baby,Rosemary's Baby,7.5,863
2500000,24748,en,Hud,6.82919,5/29/1963,10000000,112,Released,The man with the barbed-wire soul.,Hud,7.5,66
0,14048,en,Man on Wire,14.331992,7/25/2008,2957978,94,Released,1974. 1350 feet up. The artistic crime of the century.,Man on Wire,7.5,275
1600000,592,en,The Conversation,20.810292,4/7/1974,4420000,113,Released,Harry Caul is an invader of privacy. The best in the business.,The Conversation,7.5,372
0,347755,en,Wind Walkers,0.446858,1/28/2016,0,93,Released,,Wind Walkers,7.5,6
1350000,100,en,Lock; Stock and Two Smoking Barrels,16.032594,3/5/1998,3897569,105,Released,A Disgrace to Criminals Everywhere.,Lock; Stock and Two Smoking Barrels,7.5,1648
1000000,1366,en,Rocky,72.19808,11/21/1976,117235147,119,Released,His whole life was a million-to-one shot.,Rocky,7.5,1791
0,361475,en,Departure,0.42583,5/20/2016,0,109,Released,,Departure,7.5,12
0,244267,en,I Origins,37.555398,7/18/2014,336472,106,Released,,I Origins,7.5,1063
1000000,123678,id,Jagal,8.887411,8/31/2012,444575,115,Released,A story of killers who win; and the society they build.,The Act of Killing,7.5,210
0,16653,en,The Singles Ward,0.920591,1/30/2002,0,102,Released,The Road to Eternal Marriage Has Never Been Longer,The Singles Ward,7.5,4
218,1435,en,Tarnation,1.063439,10/19/2003,1162014,91,Released,,Tarnation,7.5,22
250,51942,en,I Married a Strange Person!,0.293649,8/28/1998,203,72,Released,,I Married a Strange Person!,7.5,12
0,13187,en,A Charlie Brown Christmas,8.701183,12/9/1965,0,25,Released,That's what Christmas is all about; Charlie Brown!,A Charlie Brown Christmas,7.5,153
10000,985,en,Eraserhead,20.399578,3/19/1977,7000000,89,Released,Where your nightmares end...,Eraserhead,7.5,485
0,67238,en,Cavite,0.022173,3/12/2005,0,80,Released,,Cavite,7.5,2
260000000,38757,en,Tangled,48.681969,11/24/2010,591794936,100,Released,They're taking adventure to new lengths.,Tangled,7.4,3330
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/2009,933959197,153,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
220000000,24428,en,The Avengers,144.448633,4/25/2012,1519557910,143,Released,Some assembly required.,The Avengers,7.4,11776
190000000,54138,en,Star Trek Into Darkness,78.291018,5/5/2013,467365246,132,Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418
140000000,1726,en,Iron Man,120.725053,4/30/2008,585174222,126,Released,Heroes aren't born. They're built.,Iron Man,7.4,8776
150000000,675,en,Harry Potter and the Order of the Phoenix,78.144395,6/28/2007,938212738,138,Released,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,13475,en,Star Trek,73.616808,5/6/2009,385680446,127,Released,The future begins.,Star Trek,7.4,4518
130000000,101299,en,The Hunger Games: Catching Fire,76.310119,11/15/2013,847423452,146,Released,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
100000000,672,en,Harry Potter and the Chamber of Secrets,132.397737,11/13/2002,876688482,161,Released,Hogwarts is back in session.,Harry Potter and the Chamber of Secrets,7.4,5815
100000000,4982,en,American Gangster,42.361215,11/2/2007,266465037,157,Released,There are two sides to the American dream,American Gangster,7.4,1502
92000000,9806,en,The Incredibles,77.817571,11/5/2004,631442092,115,Released,No gut; no glory,The Incredibles,7.4,5152
68000000,228150,en,Fury,139.575085,10/15/2014,211817906,135,Released,War never ends quietly.,Fury,7.4,3946
80000000,9023,en,Spirit: Stallion of the Cimarron,41.670544,5/24/2002,122563539,83,Released,Leader. Hero. Legend.,Spirit: Stallion of the Cimarron,7.4,831
76000000,9693,en,Children of Men,35.387874,9/22/2006,69959751,109,Released,The future's a thing of the past.,Children of Men,7.4,2071
60000000,786,en,Almost Famous,21.547446,9/15/2000,47383689,122,Released,Experience it. Enjoy it. Just don't fall for it.,Almost Famous,7.4,797
58000000,293660,en,Deadpool,514.569956,2/9/2016,783112979,108,Released,Witness the beginning of a happy ending,Deadpool,7.4,10995
58800000,190859,en,American Sniper,87.53437,12/11/2014,542307423,133,Released,The most lethal sniper in U.S. history.,American Sniper,7.4,4469
53000000,9444,en,Anastasia,45.565918,11/20/1997,139804348,94,Released,Discover the Adventure Behind the Greatest Mystery of Our Time.,Anastasia,7.4,1432
52500000,824,en,Moulin Rouge!,57.374341,3/9/2001,179213434,127,Released,No Laws. No Limits. One Rule. Never Fall In Love.,Moulin Rouge!,7.4,1300
40000000,165,en,Back to the Future Part II,43.345252,11/20/1989,332000000,108,Released,Roads? Where we're going; we don't need roads!,Back to the Future Part II,7.4,3829
40000000,193756,en,Lone Survivor,37.084384,12/24/2013,149295601,121,Released,Based on True Acts of Courage,Lone Survivor,7.4,1526
39000000,16320,en,Serenity,45.388937,8/25/2005,38869464,119,Released,Can't stop the signal.,Serenity,7.4,1264
35000000,9366,en,Donnie Brasco,40.370442,2/27/1997,41954997,127,Released,Based on a true story.,Donnie Brasco,7.4,1147
35000000,26843,en,Lion of the Desert,2.864979,4/17/1981,0,173,Released,He was a man of honor in a war without any.,Lion of the Desert,7.4,34
30000000,10637,en,Remember the Titans,25.996219,9/29/2000,136706683,113,Released,History is written by the winners.,Remember the Titans,7.4,821
30000000,59436,en,Midnight in Paris,43.753585,5/11/2011,151119219,94,Released,,Midnight in Paris,7.4,1990
53000000,4133,en,Blow,28.350529,4/4/2001,83282296,124,Released,Based on a True Story.,Blow,7.4,1317
30000000,4347,en,Atonement,33.369305,8/29/2007,129266061,123,Released,Torn apart by betrayal. Separated by war. Bound by love.,Atonement,7.4,1049
25000000,293863,en,The Age of Adaline,82.052056,4/16/2015,65663276,112,Released,Love is timeless.,The Age of Adaline,7.4,1990
18000000,9665,en,Glory,16.102271,12/15/1989,26828365,122,Released,Their innocence. Their heritage. Their lives.,Glory,7.4,383
28000000,812,en,Aladdin,92.982009,11/25/1992,504050219,90,Released,Wish granted!,Aladdin,7.4,3416
21000000,9428,en,The Royal Tenenbaums,24.13081,10/5/2001,71441250,110,Released,Family isnâ€™t a word; itâ€™s a sentence.,The Royal Tenenbaums,7.4,1286
27000000,186,en,Lucky Number Slevin,36.921445,2/24/2006,56308881,110,Released,Wrong Time. Wrong Place. Wrong Number.,Lucky Number Slevin,7.4,1323
25000000,11969,en,Tombstone,30.537845,12/25/1993,56505065,130,Released,Justice is coming.,Tombstone,7.4,626
23000000,746,en,The Last Emperor,21.189028,10/21/1987,43984230,163,Released,He was the Lord of Ten Thousand Years; the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change.,The Last Emperor,7.4,355
22000000,783,en,Gandhi,35.227212,11/30/1982,77737889,191,Released,His triumph changed the world forever.,Gandhi,7.4,716
22000000,38985,en,Sorcerer,9.088209,6/24/1977,12000000,121,Released,WANTED. Four men willing to drive a cargo of death to escape a life in hell.,Sorcerer,7.4,98
13000000,138843,en,The Conjuring,49.975409,7/18/2013,318000141,112,Released,Based on the true case files of the Warrens,The Conjuring,7.4,3092
1800000,1051,en,The French Connection,15.978136,10/9/1971,41158757,104,Released,There are no rules and no holds barred when Popeye cuts loose!,The French Connection,7.4,422
20000000,273895,en,Selma,29.023184,12/25/2014,66787908,127,Released,One dream can change the world.,Selma,7.4,817
21000000,4960,en,Synecdoche; New York,12.761176,10/24/2008,0,124,Released,,Synecdoche; New York,7.4,278
0,203833,en,The Book Thief,57.84156,11/8/2013,76586316,131,Released,Courage beyond words.,The Book Thief,7.4,1486
18000000,194662,en,Birdman,89.811154,8/27/2014,103215094,119,Released,or (The Unexpected Virtue of Ignorance),Birdman,7.4,4535
0,1933,en,The Others,25.881355,8/2/2001,0,101,Released,Sooner or later she'll see them; then everything will be different.,The Others,7.4,1660
17000000,11113,en,My Fair Lady,20.786616,10/21/1964,72070731,170,Released,The loverliest motion picture of them all!,My Fair Lady,7.4,352
300000,948,en,Halloween,30.301307,10/25/1978,70000000,91,Released,The Night He Came Home,Halloween,7.4,1035
0,228203,en,McFarland; USA,14.023082,2/20/2015,45710059,128,Released,Champions Can Come From Anywhere.,McFarland; USA,7.4,213
16000000,24226,en,The Verdict,7.980632,12/8/1982,53977250,129,Released,The doctors want to settle; the Church wants to settle; their lawyers want to settle; and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case.,The Verdict,7.4,131
16000000,16161,en,Baby Boy,7.854989,6/27/2001,29381649,130,Released,Just a Baby Boy.,Baby Boy,7.4,55
12000000,4638,en,Hot Fuzz,38.623178,2/14/2007,80573774,121,Released,Big cops. Small town. Moderate violence.,Hot Fuzz,7.4,2199
15000000,64690,en,Drive,49.294864,8/6/2011,78054825,100,Released,There are no clean getaways.,Drive,7.4,3725
20000000,14736,en,Love & Basketball,2.027393,4/21/2000,27728118,124,Released,All's fair in love and basketball.,Love & Basketball,7.4,88
15000000,8321,en,In Bruges,25.329493,2/8/2008,34533783,107,Released,Shoot first. Sightsee later.,In Bruges,7.4,1388
14600000,137,en,Groundhog Day,52.744331,2/11/1993,70906973,101,Released,He's having the worst day of his life... over; and over...,Groundhog Day,7.4,2301
14000000,2013,fr,Le scaphandre et le papillon,13.65494,5/22/2007,19777647,112,Released,Let your imagination set you free,The Diving Bell and the Butterfly,7.4,283
14000000,43949,en,Flipped,24.210698,8/6/2010,1755212,89,Released,You never forget your first love.,Flipped,7.4,418
12000000,205220,en,Philomena,29.019504,11/1/2013,100129872,98,Released,These two unlikely companions are on a journey to find her long lost son.,Philomena,7.4,579
12000000,129670,en,Nebraska,29.223881,9/21/2013,17654912,115,Released,Life's not about winning or losing. It's about how you get there in the end.,Nebraska,7.4,636
11000000,907,en,Doctor Zhivago,12.854853,12/22/1965,111858363,197,Released,Turbulent were the times and fiery was the love story of Zhivago; his wife and the passionate; tender Lara.,Doctor Zhivago,7.4,247
11000000,12837,en,The Secret Life of Bees,7.645979,9/17/2008,38105395,114,Released,Bring Your Girlfriends; Sisters; Mothers and Daughters.,The Secret Life of Bees,7.4,158
10000000,1542,en,Office Space,18.366362,2/19/1999,12827813,89,Released,Work sucks.,Office Space,7.4,1050
9000000,14811,en,Fiddler on the Roof,7.623979,11/3/1971,83304330,181,Released,To Life!,Fiddler on the Roof,7.4,134
9000000,10705,en,Henry V,4.641006,10/5/1989,0,137,Released,The great adventure of a king who defied the odds to prove himself a man.,Henry V,7.4,71
8200000,15121,en,The Sound of Music,37.960289,3/2/1965,286214286,174,Released,The happiest sound in all the world!,The Sound of Music,7.4,941
7000000,4251,hi,Veer-Zaara,3.721858,11/12/2004,29385320,192,Released,A Love Legend,Veer-Zaara,7.4,64
7000000,71859,en,We Need to Talk About Kevin,21.276864,9/28/2011,6038942,112,Released,,We Need to Talk About Kevin,7.4,677
6900000,9571,en,Dazed and Confused,26.181753,9/24/1993,7993039,102,Released,See it with a bud.,Dazed and Confused,7.4,583
6500000,650,en,Boyz n the Hood,17.705671,7/12/1991,57504069,112,Released,Once upon a time in South Central L.A... It ain't no fairy tale.,Boyz n the Hood,7.4,364
4800000,338,de,Good bye; Lenin!,11.086001,2/9/2003,79384880,121,Released,The German Democratic Republic lives on -- in 79 square meters!,Good bye; Lenin!,7.4,586
6000000,642,en,Butch Cassidy and the Sundance Kid,24.499996,9/23/1969,102308889,110,Released,Not that it matters; but most of it is true.,Butch Cassidy and the Sundance Kid,7.4,650
6000000,433,en,Mary Poppins,59.961523,8/27/1964,102272727,139,Released,It's supercalifragilisticexpialidocious!,Mary Poppins,7.4,1183
6000000,16619,en,Ordinary People,12.541983,9/19/1980,0,124,Released,Everything is in its proper place...except the past.,Ordinary People,7.4,145
6000000,1523,en,The Last King of Scotland,26.286954,9/1/2006,48027970,121,Released,Charming. Magnetic. Murderous.,The Last King of Scotland,7.4,558
0,13403,en,Hedwig and the Angry Inch,4.25422,7/20/2001,0,95,Released,An anatomically incorrect rock odyssey,Hedwig and the Angry Inch,7.4,80
5500000,11901,en,High Plains Drifter,19.127239,4/19/1973,15700000,105,Released,Welcome to Hell,High Plains Drifter,7.4,278
5000000,71,en,Billy Elliot,20.428237,5/18/2000,110000000,110,Released,Inside every one of us is a special talent waiting to come out. The trick is finding it.,Billy Elliot,7.4,750
5000000,244403,en,Rudderless,10.619574,10/17/2014,0,105,Released,The way back begins with a single chord.,Rudderless,7.4,105
1000000,12498,en,Sling Blade,14.805264,8/30/1996,24475416,135,Released,A simple man. A difficult choice.,Sling Blade,7.4,231
3600000,3116,en,Midnight Cowboy,21.119209,5/25/1969,44785053,113,Released,Whatever you hear about Midnight Cowboy is true.,Midnight Cowboy,7.4,299
3500000,18900,en,In Cold Blood,7.821438,12/14/1967,13007551,134,Released,,In Cold Blood,7.4,82
3500000,27029,en,The Nun's Story,3.281509,6/18/1959,12800000,149,Released,Her Faith Remained Strong and True in the Face of Africa's Terrors!,The Nun's Story,7.4,46
0,850,en,A Christmas Story,15.128316,11/18/1983,19294144,94,Released,Peace; Harmony; Comfort and Joy... Maybe Next Year.,A Christmas Story,7.4,344
3200000,11697,en,The Man Who Shot Liberty Valance,11.735287,4/22/1962,8000000,123,Released,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford,The Man Who Shot Liberty Valance,7.4,265
0,10162,en,Waking Ned,5.735912,9/15/1998,0,91,Released,How far would you go to win a fortune!,Waking Ned,7.4,54
3000000,132344,en,Before Midnight,23.299907,4/5/2013,11176469,108,Released,Everything's better with maturity.,Before Midnight,7.4,568
3000000,252,en,Willy Wonka & the Chocolate Factory,23.981601,6/29/1971,4000000,100,Released,It's Scrumdiddlyumptious!,Willy Wonka & the Chocolate Factory,7.4,798
3000000,10683,en,Happiness,10.757539,10/16/1998,2807390,139,Released,Finding happiness can be a tragic comedy.,Happiness,7.4,194
2777000,630,en,The Wizard of Oz,67.417542,8/15/1939,33754967,102,Released,We're off to see the Wizard; the wonderful Wizard of Oz!,The Wizard of Oz,7.4,1642
2380000,11798,en,This Is England,8.395624,9/12/2006,8176544,101,Released,Run with the crowd; stand alone; you decide.,This Is England,7.4,363
0,49020,en,Submarine,8.518866,3/18/2011,864659,97,Released,A comedy that doesn't let principles stand in the way of progress.,Submarine,7.4,443
1500000,18079,es,Nueve Reinas,8.589355,8/31/2000,0,114,Released,Sticky & Square,Nine Queens,7.4,153
0,426469,en,Growing Up Smith,0.71087,2/3/2017,0,102,Released,Itâ€™s better to stand out than to fit in.,Growing Up Smith,7.4,7
1250000,28580,en,The Lost Weekend,6.903314,11/25/1945,11000000,101,Released,The screen dares to open the strange and savage pages of a shocking bestseller!,The Lost Weekend,7.4,112
0,18570,en,Food; Inc.,15.017162,9/7/2008,0,94,Released,You'll never look at dinner the same way again.,Food; Inc.,7.4,217
